id,name,jpName,title,homeTown,alignment,growthPatternId,rarity,img,visualPrompt
"11111111-1111-1111-1111-111111111111","reiji","レイジ","歌舞伎町の覇王","shinjuku","ORDER","BALANCED","SSR","/reiji_transparent_asset.png","japanese male outlaw leader, sleek matte black tactical suit, sharp gaze, neon background"
"33333333-3333-3333-3333-333333333333","rui","ルイ","電気街の女王","akihabara","CHAOS","SPEEDSTER","SSR","/rui_transparent_asset.png","japanese female hacker leader, stylish streetwear, bob hair, confident smirk"
"22222222-2222-2222-2222-222222222222","chang","チャン","冷徹な毒蛇","ikebukuro","EVIL","LUCKY_STAR","SSR","/chang_transparent_asset.png","sharp elegant male mafia enforcer, dark suit, cold eyes, tattoos"
"44444444-4444-4444-4444-444444444444","leon","レオン","新宿の牙","shinjuku","EVIL","ATTACKER","SSR","/leon_transparent_asset.png","brawny male street fighter, leather jacket, scars, aggressive posture"
"55555555-5555-5555-5555-555555555555","yuki","ユウキ","漆黒の執行者","shinjuku","ORDER","DEFENDER","SSR","/yuki_transparent_asset.png","cool male mercenary captain, long dark coat, calm analytical expression"
"66666666-6666-6666-6666-666666666666","kaito","カイト","六本木の支配者","roppongi","CHAOS","BALANCED","SSR","/kaito_transparent_asset.png","flamboyant male club owner, matte silver suit, charismatic aura"
"77777777-7777-7777-7777-777777777777","koharu","コハル","スピードスター","kawasaki","JUSTICE","SPEEDSTER","SR","/koharu_transparent_asset.png","young athletic female courier, biker jacket, goggles, energetic"
"99999999-9999-9999-9999-999999999999","sakura","サクラ","紅い暗殺者","yokohama","EVIL","ATTACKER","SR","/sakura_transparent_asset.png","deadly female assassin, modern crimson yukata streetwear, blade"
"a0000000-0000-0000-0000-000000000009","member_009","構成員_009","歌舞伎町のスカウト","shinjuku","JUSTICE","BALANCED","SR","/member_009_transparent_asset.png","slick male recruiter, sharp blazer, smartphone"
"a0000000-0000-0000-0000-000000000010","member_010","構成員_010","渋谷のディーラー","shibuya","EVIL","HP_TANK","SR","/member_010_transparent_asset.png","cool male casino dealer, vest, playing cards"
"a0000000-0000-0000-0000-000000000011","member_011","構成員_011","池袋のヒットマン","ikebukuro","ORDER","ATTACKER","SR","/member_011_transparent_asset.png","silent male sniper, trench coat, gloved hands"
"a0000000-0000-0000-0000-000000000012","member_012","構成員_012","六本木の用心棒","roppongi","CHAOS","DEFENDER","SR","/member_012_transparent_asset.png","huge muscular bouncer, matte black suit, sunglasses"
"a0000000-0000-0000-0000-000000000013","member_013","構成員_013","秋葉原のハッカー","akihabara","JUSTICE","SPEEDSTER","SR","/member_013_transparent_asset.png","tech savvy female coder, oversized hoodie, headphones"
"a0000000-0000-0000-0000-000000000014","member_014","構成員_014","川崎の拳闘士","kawasaki","EVIL","LUCKY_STAR","SR","/member_014_transparent_asset.png","tough brawler male, taped fists, tank top"
