id,name,rarity,alignment,ap_cost,power,effect_type,is_exclusive,exclusive_character_id,description
SKILL_001,"ストリートパンチ",N,JUSTICE,1,50,ATTACK,FALSE,,"喧嘩慣れした路地裏仕込みの鋭いストレート。"
SKILL_002,"クイックシールド",N,ORDER,1,40,DEFENSE,FALSE,,"暴徒の突撃に備え、手持ちの軽量防犯盾を即座に展開する。"
SKILL_003,"ノイズヒール",N,CHAOS,1,30,HEAL,FALSE,,"違法ルートで入手した即効性の痛み止めサプリメントを服用して傷を癒やす。"
SKILL_004,"ステップダッシュ",N,CHAOS,1,0,SUPPORT,FALSE,,"俊敏なフットワークで間合いを詰め、一時的に身のこなしを鋭くする。"
SKILL_005,"毒針",N,EVIL,1,10,JAMMER,FALSE,,"毒素を塗布した極細の暗器を敵の防具の隙間に突き刺す。"
SKILL_006,"アイアンガード",N,ORDER,1,0,DEFENSE,FALSE,,"身につけた防弾プロテクターのガードを一時的に固める。"
SKILL_007,"罵詈雑言",N,CHAOS,1,0,JAMMER,FALSE,,"荒々しいストリートのスラングで敵を挑発し、注意を自分に向ける。"
SKILL_008,"スマートスナイプ",N,ORDER,1,40,ATTACK,FALSE,,"改良型レーザー照準器により、ターゲットを確実に射止める。"
SKILL_009,"ドラッグインジェクション",N,EVIL,1,0,SUPPORT,FALSE,,"合成ドラッグを注入し、一時的に痛覚を麻痺させて攻撃力を上げる。"
SKILL_010,"ライトフラッシュ",N,JUSTICE,1,0,JAMMER,FALSE,,"超高輝度のフラッシュライトを敵の顔面に照射し、一時的に視界を奪う。"
SKILL_011,"静観",N,ORDER,0,0,SUPPORT,FALSE,,"無闇に動かず呼吸を整え、次の瞬間のチャンスのためにAPを蓄積する。"
SKILL_012,"ラッキーシュート",N,CHAOS,1,50,ATTACK,FALSE,,"狙いを定めず、勢いに任せて放つ捨て身のラフな一撃。"
SKILL_013,"チャージスラッシュ",R,ORDER,2,100,ATTACK,FALSE,,"体重を完全に乗せ、凄まじい速度で振り下ろす仕込み日本刀の斬撃。"
SKILL_014,"大旋風",R,CHAOS,2,45,ATTACK,FALSE,,"鉄パイプや金属バットを力任せに横一線に振り回し、群がる敵をなぎ払う。"
SKILL_015,"リカバリープログラム",R,ORDER,2,70,HEAL,FALSE,,"安全な遮蔽物の陰で呼吸を整え、戦闘用の応急包帯で止血する。"
SKILL_016,"スモークスクリーン",R,CHAOS,2,0,SUPPORT,FALSE,,"化学煙幕を放つ発煙筒を足元に叩きつけ、味方の輪郭を隠蔽する。"
SKILL_017,"アジドスプレー",R,EVIL,2,0,JAMMER,FALSE,,"相手のタクティカルベストや防具を急速に脆化させる強酸スプレーを噴射する。"
SKILL_018,"ジャミングウェーブ",R,EVIL,2,0,JAMMER,FALSE,,"広帯域ジャマーを作動させ、敵チームの通信用インカムに耳障りなノイズを流す。"
SKILL_019,"インパルスバリア",R,ORDER,2,60,DEFENSE,FALSE,,"防弾・防刃仕様の大型ライオットシールドを並べ、堅牢な防御陣形を張る。"
SKILL_020,"不屈の闘志",R,JUSTICE,2,0,SUPPORT,FALSE,,"組織の矜持を胸に闘志を燃やし、己の攻撃力を限界まで引き上げる。"
SKILL_021,"高圧電流",R,EVIL,2,0,JAMMER,FALSE,,"特製のスタン警棒で首筋を強打し、青い火花と共に高圧電流で神経系を麻痺させる。"
SKILL_022,"タクティカルリロード",R,ORDER,1,0,SUPPORT,FALSE,,"銃器のマガジンを電光石火のスピードで交換し、次の精密射撃の精度を高める。"
SKILL_023,"ダブルドライブ",R,CHAOS,2,80,ATTACK,FALSE,,"素早い踏み込みから、拳とキックの連続攻撃を叩き込む。"
SKILL_024,"鼓舞の雄叫び",R,JUSTICE,2,40,HEAL,FALSE,,"激を飛ばして仲間の危機を救い、精神的な気力をみなぎらせる。"
SKILL_025,"プロテクト・シールド",SR,ORDER,2,80,DEFENSE,FALSE,,"重厚なライオットシールドを両手でガッチリと構え、あらゆる妨害を防ぐ。"
